symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2020-04-09,1211.45,1225.57,1196.74,1224.08,2175421,1211.45,1225.57,1196.74,1224.08,2175421,0.0,1.0
GOOG,2020-04-13,1217.56,1220.51,1187.6,1209.18,1739828,1217.56,1220.51,1187.6,1209.18,1739828,0.0,1.0
GOOG,2020-04-14,1269.23,1282.07,1236.93,1245.09,2470353,1269.23,1282.07,1236.93,1245.09,2470353,0.0,1.0
GOOG,2020-04-15,1262.47,1280.46,1240.4,1245.61,1671703,1262.47,1280.46,1240.4,1245.61,1671703,0.0,1.0
GOOG,2020-04-16,1263.47,1279.0,1242.62,1274.1,2518099,1263.47,1279.0,1242.62,1274.1,2518099,0.0,1.0
GOOG,2020-04-17,1283.25,1294.43,1271.23,1284.85,1949042,1283.25,1294.43,1271.23,1284.85,1949042,0.0,1.0
GOOG,2020-04-20,1266.61,1281.6,1261.37,1271.0,1695488,1266.61,1281.6,1261.37,1271.0,1695488,0.0,1.0
GOOG,2020-04-21,1216.34,1254.27,1209.71,1247.0,2153003,1216.34,1254.27,1209.71,1247.0,2153003,0.0,1.0
GOOG,2020-04-22,1263.21,1285.61,1242.0,1245.54,2093140,1263.21,1285.61,1242.0,1245.54,2093140,0.0,1.0
GOOG,2020-04-23,1276.31,1293.31,1265.67,1271.55,1566203,1276.31,1293.31,1265.67,1271.55,1566203,0.0,1.0
GOOG,2020-04-24,1279.31,1280.4,1249.45,1261.17,1640394,1279.31,1280.4,1249.45,1261.17,1640394,0.0,1.0
GOOG,2020-04-27,1275.88,1296.15,1269.0,1296.0,1600563,1275.88,1296.15,1269.0,1296.0,1600563,0.0,1.0
GOOG,2020-04-28,1233.67,1288.05,1232.2,1287.93,2951309,1233.67,1288.05,1232.2,1287.93,2951309,0.0,1.0
GOOG,2020-04-29,1341.48,1359.99,1325.34,1341.46,3793630,1341.48,1359.99,1325.34,1341.46,3793630,0.0,1.0
GOOG,2020-04-30,1348.66,1352.82,1322.49,1324.88,2668906,1348.66,1352.82,1322.49,1324.88,2668906,0.0,1.0
GOOG,2020-05-01,1320.61,1352.07,1311.0,1328.5,2072639,1320.61,1352.07,1311.0,1328.5,2072639,0.0,1.0
GOOG,2020-05-04,1326.8,1327.66,1299.0,1308.23,1504017,1326.8,1327.66,1299.0,1308.23,1504017,0.0,1.0
GOOG,2020-05-05,1351.11,1373.94,1337.46,1337.92,1651533,1351.11,1373.94,1337.46,1337.92,1651533,0.0,1.0
GOOG,2020-05-06,1347.3,1371.12,1347.29,1361.69,1215423,1347.3,1371.12,1347.29,1361.69,1215423,0.0,1.0
GOOG,2020-05-07,1372.56,1377.6,1355.27,1365.94,1399759,1372.56,1377.6,1355.27,1365.94,1399759,0.0,1.0
GOOG,2020-05-08,1388.37,1398.76,1375.48,1383.13,1388068,1388.37,1398.76,1375.48,1383.13,1388068,0.0,1.0
GOOG,2020-05-11,1403.26,1416.53,1377.15,1378.28,1412116,1403.26,1416.53,1377.15,1378.28,1412116,0.0,1.0
GOOG,2020-05-12,1375.74,1415.0,1374.77,1407.12,1390600,1375.74,1415.0,1374.77,1407.12,1390600,0.0,1.0
GOOG,2020-05-13,1349.33,1385.48,1328.4,1377.05,1812585,1349.33,1385.48,1328.4,1377.05,1812585,0.0,1.0
GOOG,2020-05-14,1356.13,1357.42,1323.91,1335.02,1603077,1356.13,1357.42,1323.91,1335.02,1603077,0.0,1.0
GOOG,2020-05-15,1373.19,1374.48,1339.0,1350.0,1707747,1373.19,1374.48,1339.0,1350.0,1707747,0.0,1.0
GOOG,2020-05-18,1383.94,1392.33,1354.25,1361.75,1823964,1383.94,1392.33,1354.25,1361.75,1823964,0.0,1.0
GOOG,2020-05-19,1373.48,1392.0,1373.48,1387.0,1280649,1373.48,1392.0,1373.48,1387.0,1280649,0.0,1.0
GOOG,2020-05-20,1406.72,1410.42,1387.25,1389.58,1655375,1406.72,1410.42,1387.25,1389.58,1655375,0.0,1.0
GOOG,2020-05-21,1402.8,1415.49,1393.45,1408.0,1378020,1402.8,1415.49,1393.45,1408.0,1378020,0.0,1.0
GOOG,2020-05-22,1410.42,1412.76,1391.83,1396.71,1309408,1410.42,1412.76,1391.83,1396.71,1309408,0.0,1.0
GOOG,2020-05-26,1417.02,1441.0,1412.13,1437.27,2060643,1417.02,1441.0,1412.13,1437.27,2060643,0.0,1.0
GOOG,2020-05-27,1417.84,1421.74,1391.29,1417.25,1686142,1417.84,1421.74,1391.29,1417.25,1686142,0.0,1.0
GOOG,2020-05-28,1416.73,1440.84,1396.0,1396.86,1693976,1416.73,1440.84,1396.0,1396.86,1693976,0.0,1.0
GOOG,2020-05-29,1428.92,1432.57,1413.35,1416.94,1838059,1428.92,1432.57,1413.35,1416.94,1838059,0.0,1.0
GOOG,2020-06-01,1431.82,1437.96,1418.0,1418.39,1217140,1431.82,1437.96,1418.0,1418.39,1217140,0.0,1.0
GOOG,2020-06-02,1439.22,1439.61,1418.83,1430.55,1278128,1439.22,1439.61,1418.83,1430.55,1278128,0.0,1.0
GOOG,2020-06-03,1436.38,1446.55,1429.78,1438.3,1256186,1436.38,1446.55,1429.78,1438.3,1256186,0.0,1.0
GOOG,2020-06-04,1412.18,1438.96,1404.73,1430.4,1484272,1412.18,1438.96,1404.73,1430.4,1484272,0.0,1.0
GOOG,2020-06-05,1438.39,1445.05,1406.0,1413.17,1735244,1438.39,1445.05,1406.0,1413.17,1735244,0.0,1.0
GOOG,2020-06-08,1446.61,1447.99,1422.34,1422.34,1404178,1446.61,1447.99,1422.34,1422.34,1404178,0.0,1.0
GOOG,2020-06-09,1456.16,1468.0,1443.21,1445.36,1409249,1456.16,1468.0,1443.21,1445.36,1409249,0.0,1.0
GOOG,2020-06-10,1465.85,1474.26,1456.27,1459.54,1525153,1465.85,1474.26,1456.27,1459.54,1525153,0.0,1.0
GOOG,2020-06-11,1403.84,1454.47,1402.0,1442.48,1991332,1403.84,1454.47,1402.0,1442.48,1991332,0.0,1.0
GOOG,2020-06-12,1413.18,1437.0,1386.02,1428.49,1946367,1413.18,1437.0,1386.02,1428.49,1946367,0.0,1.0
GOOG,2020-06-15,1419.85,1424.8,1387.92,1390.8,1506096,1419.85,1424.8,1387.92,1390.8,1506096,0.0,1.0
GOOG,2020-06-16,1442.72,1455.02,1425.9,1445.22,1711614,1442.72,1455.02,1425.9,1445.22,1711614,0.0,1.0
GOOG,2020-06-17,1451.12,1460.0,1431.38,1447.16,1549615,1451.12,1460.0,1431.38,1447.16,1549615,0.0,1.0
GOOG,2020-06-18,1435.96,1451.41,1427.01,1449.16,1581916,1435.96,1451.41,1427.01,1449.16,1581916,0.0,1.0
GOOG,2020-06-19,1431.72,1447.8,1421.35,1444.0,3157875,1431.72,1447.8,1421.35,1444.0,3157875,0.0,1.0
GOOG,2020-06-22,1451.86,1452.75,1423.21,1429.0,1542440,1451.86,1452.75,1423.21,1429.0,1542440,0.0,1.0
GOOG,2020-06-23,1464.41,1475.94,1445.24,1455.64,1429764,1464.41,1475.94,1445.24,1455.64,1429764,0.0,1.0
GOOG,2020-06-24,1431.97,1475.42,1429.75,1461.51,1756022,1431.97,1475.42,1429.75,1461.51,1756022,0.0,1.0
GOOG,2020-06-25,1441.33,1442.9,1420.0,1429.9,1230474,1441.33,1442.9,1420.0,1429.9,1230474,0.0,1.0
GOOG,2020-06-26,1359.9,1433.45,1351.99,1431.39,4267698,1359.9,1433.45,1351.99,1431.39,4267698,0.0,1.0
GOOG,2020-06-29,1394.97,1395.6,1347.01,1358.18,1810200,1394.97,1395.6,1347.01,1358.18,1810200,0.0,1.0
GOOG,2020-06-30,1413.61,1418.65,1383.96,1390.44,2042400,1413.61,1418.65,1383.96,1390.44,2042400,0.0,1.0
GOOG,2020-07-01,1438.04,1443.0,1409.82,1411.1,1775600,1438.04,1443.0,1409.82,1411.1,1775600,0.0,1.0
GOOG,2020-07-02,1464.7,1482.95,1446.42,1446.94,1859800,1464.7,1482.95,1446.42,1446.94,1859800,0.0,1.0
GOOG,2020-07-06,1495.7,1506.59,1472.86,1480.06,1564000,1495.7,1506.59,1472.86,1480.06,1564000,0.0,1.0
GOOG,2020-07-07,1485.18,1516.8,1483.55,1490.0,1458200,1485.18,1516.8,1483.55,1490.0,1458200,0.0,1.0
GOOG,2020-07-08,1496.0,1505.88,1485.63,1494.32,1249700,1496.0,1505.88,1485.63,1494.32,1249700,0.0,1.0
GOOG,2020-07-09,1510.99,1522.72,1488.08,1506.45,1423300,1510.99,1522.72,1488.085,1506.45,1423300,0.0,1.0
GOOG,2020-07-10,1541.74,1543.83,1496.54,1506.15,1857200,1541.74,1543.83,1496.54,1506.15,1857200,0.0,1.0
GOOG,2020-07-13,1511.34,1577.13,1505.24,1550.0,1846400,1511.34,1577.132,1505.243,1550.0,1846400,0.0,1.0
GOOG,2020-07-14,1520.58,1522.95,1483.5,1490.31,1585000,1520.58,1522.95,1483.5,1490.31,1585000,0.0,1.0
GOOG,2020-07-15,1513.64,1535.33,1498.0,1523.13,1761000,1513.64,1535.33,1498.0,1523.13,1761000,0.0,1.0
GOOG,2020-07-16,1518.0,1518.69,1486.31,1500.0,1519300,1518.0,1518.69,1486.31,1500.0,1519300,0.0,1.0
GOOG,2020-07-17,1515.55,1523.44,1498.42,1521.62,1457000,1515.55,1523.44,1498.42,1521.62,1457000,0.0,1.0
GOOG,2020-07-20,1565.72,1570.29,1503.6,1515.26,1547136,1565.72,1570.29,1503.6,1515.26,1547136,0.0,1.0
GOOG,2020-07-21,1558.42,1586.99,1554.28,1586.99,1183101,1558.42,1586.99,1554.28,1586.99,1183101,0.0,1.0
GOOG,2020-07-22,1568.49,1570.0,1546.1,1560.5,931985,1568.49,1570.0,1546.1,1560.5,931985,0.0,1.0
GOOG,2020-07-23,1515.68,1571.87,1507.3918,1566.97,1627634,1515.68,1571.87,1507.3918,1566.97,1627634,0.0,1.0
